Marca,Desc_Producto,Precio,URL_Producto,
CORN," AMD Radeon HD6450 2GB 64Bit GDDR3 Graphic Card Video Card GPU DirectX 11 PCI Express 2.1 16X DVI-D/VGA/HDMI"," 53"," https://www.newegg.com/p/27N-003A-00002",
ASUS," GeForce GT 730 Video Card for Silent HTPC Builds (with I/O Port Brackets) GT730-SL-2GD5-BRK"," 67"," https://www.newegg.com/asus-geforce-gt-730-gt730-sl-2gd5-brk/p/N82E16814126537",
ASRock," Challenger D Radeon RX 6600 XT 8GB GDDR6 PCI Express 4.0 Video Card RX6600XT CLD 8GO"," 439"," https://www.newegg.com/asrock-radeon-rx-6600-xt-rx6600xt-cld-8g/p/N82E16814930063?Description=GPU&cm_re=GPU-_-14-930-063-_-Product",
MSI," Gaming Radeon RX 6600 XT 8GB GDDR6 PCI Express 4.0 ATX Video Card RX 6600 XT GAMING X 8G"," 409"," https://www.newegg.com/msi-radeon-rx-6600-xt-rx-6600-xt-gaming-x-8g/p/N82E16814137681?Description=GPU&cm_re=GPU-_-14-137-681-_-Product",
MSI," Suprim GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 x16 Video Card RTX 3070 Ti SUPRIM X 8G"," 819"," https://www.newegg.com/msi-geforce-rtx-3070-ti-rtx-3070-ti-suprim-x-8g/p/N82E16814137665?Description=GPU&cm_re=GPU-_-14-137-665-_-Product",
SAPPHIRE," Toxic Radeon RX 6900 XT 16GB GDDR6 PCI Express 4.0 ATX Video Card 11308-13-20G"," 1189"," https://www.newegg.com/sapphire-radeon-rx-6900-xt-11308-13-20g/p/N82E16814202411?Description=GPU&cm_re=GPU-_-14-202-411-_-Product",
HUANANZHI," RX560 4GB GDDR5 PCIExpress 3.0 DP+HDMI compatible +DVI RX 560 4G graphics card of Desktop"," 170"," https://www.newegg.com/p/27N-0088-00002?Item=9SIBA1EHBZ8456&Description=GPU&cm_re=GPU-_-9SIBA1EHBZ8456-_-Product&cm_sp=SP-_-1050087-_-0-_-3-_-9SIBA1EHBZ8456-_-GPU-_-gpu-_-5",
Geometric," Future M8 Lohan White Mid Tower E-ATX/ATX Gaming Case| 4mm Glass/ 1.0 mm Steel with Vertical Air Duct design| Support  420/360 Radiator| Vertical GPU Mount| GEO-M8-LOW (PC Case ONLY)"," 179"," https://www.newegg.com/p/2AM-05FM-00005?Item=9SIA7TDHG49806&Description=GPU&cm_re=GPU-_-9SIA7TDHG49806-_-Product&cm_sp=SP-_-1084196-_-0-_-2-_-9SIA7TDHG49806-_-GPU-_-gpu-_-6",
MSI," Ventus GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 Video Card RTX 3060 Ventus 3X 12G OC"," 589"," https://www.newegg.com/msi-geforce-rtx-3060-rtx-3060-ventus-3x-12g-oc/p/N82E16814137631?Description=GPU&cm_re=GPU-_-14-137-631-_-Product",
ASUS," Dual GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 Video Card DUAL-RTX3060-O12G-V2"," 599"," https://www.newegg.com/asus-geforce-rtx-3060-dual-rtx3060-o12g-v2/p/N82E16814126524?Description=GPU&cm_re=GPU-_-14-126-524-_-Product",
Geometric," Future M8 Dharma Mid Tower E-ATX/ATX Gaming Case| Aluminum/Glass/1.0 mm Steel| Vertical Air Duct design| Support Type C| 420/360 Radiator| Vertical GPU Mount| GEO-M8-DHA (PC Case ONLY)"," 199"," https://www.newegg.com/p/2AM-05FM-00002?Item=9SIA7TDHG49701&Description=GPU&cm_re=GPU-_-9SIA7TDHG49701-_-Product&cm_sp=SP-_-1084196-_-0-_-2-_-9SIA7TDHG49701-_-GPU-_-gpu-_-9",
Geometric," Future M6 Cezanne White Mid Tower 12"" x11”MB /ATX Gaming Case|  4mm Glass/0.8 mm Steel with Vertical Air Duct design| Support 360 Radiator| Vertical GPU Mount| GEO-M6-CEW (PC Case Only)"," 139"," https://www.newegg.com/p/2AM-05FM-00009?Item=9SIA7TDHG49812&Description=GPU&cm_re=GPU-_-9SIA7TDHG49812-_-Product&cm_sp=SP-_-1084196-_-0-_-2-_-9SIA7TDHG49812-_-GPU-_-gpu-_-10",
EVGA," GeForce RTX 3050 XC GAMING Video Card| 08G-P5-3553-KR| 8GB GDDR6| Dual-Fan| Metal Backplate"," 559"," https://www.newegg.com/evga-geforce-rtx-3050-08g-p5-3553-kr/p/N82E16814487555?Description=GPU&cm_re=GPU-_-14-487-555-_-Product",
ASUS," TUF Gaming NVIDIA GeForce RTX 3080 V2 OC Edition Graphics Card (PCIe 4.0| 10GB GDDR6X| LHR| HDMI 2.1| DisplayPort 1.4a| Dual Ball Fan Bearings| Military-grade Certification| GPU Tweak II)"," 1134"," https://www.newegg.com/asus-geforce-rtx-3080-tuf-rtx3080-o10g-v2-gaming/p/N82E16814126525?Description=GPU&cm_re=GPU-_-14-126-525-_-Product",
GIGABYTE," Gaming GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 ATX Video Card GV-N307TGAMING OC-8GD"," 799"," https://www.newegg.com/gigabyte-geforce-rtx-3070-ti-gv-n307tgaming-oc-8g/p/N82E16814932443?Description=GPU&cm_re=GPU-_-14-932-443-_-Product",
ASUS," ROG Strix GeForce RTX 3070 V2 OC Edition 8GB GDDR6 PCI Express 4.0 Video Card ROG-STRIX-RTX3070-O8G-V2-GAMING (LHR)"," 929"," https://www.newegg.com/asus-geforce-rtx-3070-rog-strix-rtx3070-o8g-v2-gaming/p/N82E16814126518?Description=GPU&cm_re=GPU-_-14-126-518-_-Product",
GIGABYTE," Gaming OC GeForce RTX 3070 8GB GDDR6 PCI Express 4.0 ATX Video Card GV-N3070GAMING OC-8GD (rev. 2.0) (LHR)"," 729"," https://www.newegg.com/gigabyte-geforce-rtx-3070-gv-n3070gaming-oc-8gd/p/N82E16814932449?Description=GPU&cm_re=GPU-_-14-932-449-_-Product",
ASUS," ROG STRIX GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 x16 ATX Video Card ROG-STRIX-RTX3080-O10G-WHITE-V2 (LHR)"," 1359"," https://www.newegg.com/asus-geforce-rtx-3080-rtx3080-o10g-wht-v2/p/N82E16814126533?Description=GPU&cm_re=GPU-_-14-126-533-_-Product",
Geometric," Future M6 Cezanne Black Mid Tower 12"" x11”MB /ATX Gaming Case| 4mm Glass/0.8 mm Steel with Vertical Air Duct design| Support 360 Radiator| Vertical GPU Mount| GEO-M6-CEB (PC Case Only)"," 139"," https://www.newegg.com/p/2AM-05FM-00008?Item=9SIA7TDHG49810&Description=GPU&cm_re=GPU-_-9SIA7TDHG49810-_-Product&cm_sp=SP-_-1084196-_-0-_-2-_-9SIA7TDHG49810-_-GPU-_-gpu-_-17",
SZMZ," GeForce GTX 1060 GAMING 6GB 192-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready SLI Support ATX Video Card"," 442"," https://www.newegg.com/szmz-geforce-gtx-1060-gtx1060-6g/p/1FT-00BJ-00005?Item=9SIATUJHFX8267&Description=GPU&cm_re=GPU-_-9SIATUJHFX8267-_-Product&cm_sp=SP-_-1084906-_-0-_-3-_-9SIATUJHFX8267-_-GPU-_-gpu-_-18",
GIGABYTE," Gaming GeForce RTX 3090 Ti 24GB GDDR6X PCI Express 4.0 ATX Video Card GV-N309TGAMING OC-24GD"," 2149"," https://www.newegg.com/gigabyte-geforce-rtx-3090-ti-gv-n309tgaming-oc-24gd/p/N82E16814932511?Description=GPU&cm_re=GPU-_-14-932-511-_-Product",
ASUS," ROG Strix GeForce RTX 3090 24GB GDDR6X PCI Express 4.0 SLI Support Video Card ROG-STRIX-RTX3090-O24G-WHITE"," 1999"," https://www.newegg.com/asus-geforce-rtx-3090-rog-strix-rtx3090-o24g-white/p/N82E16814126482?Description=GPU&cm_re=GPU-_-14-126-482-_-Product",
HUANANZHI," GTX650 2GB GDDR5 PCIExpress 3.0 DVI+VGA+HDMI compatible GTX 650 2G graphics card of Desktop"," 98"," https://www.newegg.com/p/1FT-00G6-00014?Item=9SIBA1EHC02461&Description=GPU&cm_re=GPU-_-9SIBA1EHC02461-_-Product&cm_sp=SP-_-1050087-_-0-_-3-_-9SIBA1EHC02461-_-GPU-_-gpu-_-21",
Geometric," Future M8 Celluloid Mid Tower E-ATX/ATX Gaming Case| 4mm Glass/1.0 mm Steel| Vertical Air Duct design| Support Type C| 420/360 Radiator| Vertical GPU Mount| GEO-M8-CEL (PC Case Only)"," 189"," https://www.newegg.com/p/2AM-05FM-00003?Item=9SIA7TDHG49800&Description=GPU&cm_re=GPU-_-9SIA7TDHG49800-_-Product&cm_sp=SP-_-1084196-_-0-_-2-_-9SIA7TDHG49800-_-GPU-_-gpu-_-22",
Sapphire," NITRO+ AMD RADEON RX 6900 XT SE GAMING OC Graphics Card With 16GB GDDR6 HDMI / TRIPLE DP"," 1079"," https://www.newegg.com/sapphire-radeon-rx-6900-xt-11308-03-20g/p/N82E16814202403?Description=GPU&cm_re=GPU-_-14-202-403-_-Product",
EVGA," FTW3 ULTRA GeForce RTX 3080 12GB GDDR6X PCI Express 4.0 ATX Video Card| LHR 12G-P5-4877-KL"," 999"," https://www.newegg.com/evga-geforce-rtx-3080-12g-p5-4877-kl/p/N82E16814487553?Description=GPU&cm_re=GPU-_-14-487-553-_-Product",
MSI," Gaming GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 ATX Video Card RTX 3080 GAMING Z TRIO 10G LHR"," 1177"," https://www.newegg.com/msi-geforce-rtx-3080-rtx-3080-gaming-z-trio-10g-lhr/p/N82E16814137677?Description=GPU&cm_re=GPU-_-14-137-677-_-Product",
XFX," SPEEDSTER QICK319 AMD Radeon RX 6700 XT BLACK Gaming Graphics Card with 12GB GDDR6| HDMI 3 x DP| AMD RDNA 2"," 599"," https://www.newegg.com/xfx-radeon-rx-6700-xt-rx-67xtypbdp/p/N82E16814150855?Description=GPU&cm_re=GPU-_-14-150-855-_-Product",
GIGABYTE," Gaming GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 ATX Video Card GV-N308TGAMING OC-12GD"," 1469"," https://www.newegg.com/gigabyte-geforce-rtx-3080-ti-gv-n308tgaming-oc-12gd/p/N82E16814932436?Description=GPU&cm_re=GPU-_-14-932-436-_-Product",
ASUS," ROG Strix GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 Video Card ROG-STRIX-RTX3070TI-O8G-GAMING"," 899"," https://www.newegg.com/asus-geforce-rtx-3070-ti-rog-strix-rtx3070ti-o8g-gaming/p/N82E16814126511?Description=GPU&cm_re=GPU-_-14-126-511-_-Product",
51Risc," NVIDIA GeForce RTX 2060 SUPER 8GB GDDR6 PCI Express 3.0 x16 Mining Video Card RTX 2060 SUPER  GP OC"," 668"," https://www.newegg.com/p/1FT-00H7-00001?Item=9SIB86XH2Z9534&Description=GPU&cm_re=GPU-_-9SIB86XH2Z9534-_-Product&cm_sp=SP-_-1019414-_-0-_-1-_-9SIB86XH2Z9534-_-GPU-_-gpu-_-29",
