Marca,Desc_Producto,Precio,URL_Producto,
1," PCS CPU Cooler Desktop Computer CPU Fan CPU Air Cooler Silent Radiator Fan Air Cooling For Intel/AMD CPUs (Multicolor)"," 16"," https://www.newegg.com/p/13C-00XG-00009?Item=9SIB30TFRJ0629&Description=CPU&cm_re=CPU-_-9SIB30TFRJ0629-_-Product&cm_sp=SP-_-967946-_-0-_-2-_-9SIB30TFRJ0629-_-CPU-_-cpu-_-5",
1," PCS CPU Cooler Desktop Computer CPU Fan CPU Air Cooler Silent Radiator Fan Air Cooling For Intel/AMD CPUs (RGB Five Colors)"," 15"," https://www.newegg.com/p/13C-00XG-00008?Item=9SIB30TFRJ0628&Description=CPU&cm_re=CPU-_-9SIB30TFRJ0628-_-Product&cm_sp=SP-_-967946-_-0-_-2-_-9SIB30TFRJ0628-_-CPU-_-cpu-_-6",
Intel," Core i5-12400F - Core i5 12th Gen Alder Lake 6-Core 2.5 GHz LGA 1700 65W Desktop Processor - BX8071512400F"," 179"," https://www.newegg.com/intel-core-i5-12400f-core-i5-12th-gen/p/N82E16819118360?Description=CPU&cm_re=CPU-_-19-118-360-_-Product",
Intel," Core i9-11900KF - Core i9 11th Gen Rocket Lake 8-Core 3.5 GHz LGA 1200 125W Desktop Processor - BX8070811900KF"," 379"," https://www.newegg.com/intel-core-i9-11900kf-core-i9-11th-gen/p/N82E16819118259?Description=CPU&cm_re=CPU-_-19-118-259-_-Product",
Global," Bargains 10PCS Aluminum Heatsink Cooling Fin 22mm x 22mm x 10mm for CPU RAM"," 7"," https://www.newegg.com/p/13C-008M-00171?Item=9SIA4SRF759555&Description=CPU&cm_re=CPU-_-9SIA4SRF759555-_-Product&cm_sp=SP-_-722486-_-0-_-2-_-9SIA4SRF759555-_-CPU-_-cpu-_-9",
Cooler," Master i50 CPU Cooler - 92mm Low Noise Cooling Fan & Heatsink(RH-I50-20FK-R1) - For Intel CPU Cooler Socket LGA 1150 / 1151 / 1155 / 1156/1200"," 11"," https://www.newegg.com/cooler-master-i70-air-cooler-series/p/13C-00R6-00005?Item=9SIAPVTGRE3034&Description=CPU&cm_re=CPU-_-9SIAPVTGRE3034-_-Product&cm_sp=SP-_-990233-_-0-_-2-_-9SIAPVTGRE3034-_-CPU-_-cpu-_-10",
Intel," Core i7-12700 - Core i7 12th Gen Alder Lake 12-Core (8P+4E) 2.1 GHz LGA 1700 65W Intel UHD Graphics 770 Desktop Processor - BX8071512700"," 349"," https://www.newegg.com/intel-core-i7-12700-core-i7-12th-gen/p/N82E16819118368?Description=CPU&cm_re=CPU-_-19-118-368-_-Product",
Intel," Core i7 10th Gen - Core i7-10700K Comet Lake 8-Core 3.8 GHz LGA 1200 125W Desktop Processor w/ Intel UHD Graphics 630"," 329"," https://www.newegg.com/intel-core-i7-10700k-core-i7-10th-gen/p/N82E16819118123?Description=CPU&cm_re=CPU-_-19-118-123-_-Product",
Intel," Core i9-12900KF - Core i9 12th Gen Alder Lake 16-Core (8P+8E) 3.2 GHz LGA 1700 125W Desktop Processor - BX8071512900KF"," 572"," https://www.newegg.com/intel-core-i9-12900kf-core-i9-12th-gen/p/N82E16819118341?Description=CPU&cm_re=CPU-_-19-118-341-_-Product",
Intel," Core i5-10600K - Core i5 10th Gen Comet Lake 6-Core 4.1 GHz LGA 1200 125W Intel UHD Graphics 630 Desktop Processor - BX8070110600K"," 212"," https://www.newegg.com/intel-core-i5-10600k-core-i5-10th-gen/p/N82E16819118124?Description=CPU&cm_re=CPU-_-19-118-124-_-Product",
Intel," Core i3-12100 - Core i3 12th Gen Alder Lake Quad-Core 3.3 GHz LGA 1700 Processor 60W Intel UHD Graphics 730 Desktop Processor - BX8071512100"," 134"," https://www.newegg.com/intel-core-i3-12100-core-i3-12th-gen/p/N82E16819118370?Description=CPU&cm_re=CPU-_-19-118-370-_-Product",
Intel," Core i9-12900 - Core i9 12th Gen Alder Lake 16-Core (8P+8E) 2.4 GHz LGA 1700 Processor 65W Intel UHD Graphics 770 Desktop Processor - BX8071512900"," 519"," https://www.newegg.com/intel-core-i9-12900-core-i9-12th-gen/p/N82E16819118366?Description=CPU&cm_re=CPU-_-19-118-366-_-Product",
AMD," Wraith Prism RGB LED Lighting Socket AM4 4-Pin Connector CPU Cooler with Copper Core Base & Aluminum Heatsink & 4.13-Inch Fan"," 48"," https://www.newegg.com/p/13C-001X-00013?Item=9SIA4RE9V33837&Description=CPU&cm_re=CPU-_-9SIA4RE9V33837-_-Product&cm_sp=SP-_-346098-_-0-_-2-_-9SIA4RE9V33837-_-CPU-_-cpu-_-17",
